movieId,title,genres,rating,overview,cast,crew,keywords,combined
23,Assassins (1995),"['action', 'crime', 'thriller']",3.1504133983464064,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","['sylvesterstallone', 'antoniobanderas', 'juliannemoore', 'anatolidavydov', 'musewatson']",['richarddonner'],"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexicanstandoff', 'seattle', 'hitman', 'missionofmurder', 'hiddencamera', 'rivalry', 'rescue', 'shootout', 'policechase', 'sniperrifle', 'silencer', 'doublecross', 'caribbean', 'detroitmichigan']",action crime thriller competition assassination cia bank cat mexicanstandoff seattle hitman missionofmurder hiddencamera rivalry rescue shootout policechase sniperrifle silencer doublecross caribbean detroitmichigan sylvesterstallone antoniobanderas juliannemoore anatolidavydov musewatson richarddonner
25,Leaving Las Vegas (1995),"['drama', 'romance']",3.6761820199778024,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","['nicolascage', 'elisabethshue', 'juliansands', 'richardlewis', 'stevenweber']",['mikefiggis'],"['individual', 'prostitute', 'alcohol', 'casino', 'loveatfirstsight', 'lovesickness', 'filmproducer', 'screenwriter', 'hotelroom', 'dyinganddeath', 'rageandhate', 'unsociability', 'alcoholism', 'losangeles', 'alcoholabuse', 'attemptedsuicide']",drama romance individual prostitute alcohol casino loveatfirstsight lovesickness filmproducer screenwriter hotelroom dyinganddeath rageandhate unsociability alcoholism losangeles alcoholabuse attemptedsuicide nicolascage elisabethshue juliansands richardlewis stevenweber mikefiggis
34,Babe (1995),"['children', 'drama']",3.586935972643109,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","['christinecavanaugh', 'miriammargolyes', 'dannymann', 'hugoweaving', 'miriamflynn']",['chrisnoonan'],"['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talkinganimal', 'separation', 'germanshepherd', 'grandson', 'talkingpig']",children drama sheep pig affection piglet heroism talkinganimal separation germanshepherd grandson talkingpig christinecavanaugh miriammargolyes dannymann hugoweaving miriamflynn chrisnoonan
36,Dead Man Walking (1995),"['crime', 'drama']",3.920561606691484,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,"['susansarandon', 'seanpenn', 'robertprosky', 'raymondj.barry', 'r.leeermey']",['timrobbins'],"['prison', 'rape', 'sociallydeprivedfamily', 'penalty', 'deathpenalty', 'despair', 'deathrow', 'begnadigung', 'therapist', 'self-discovery', 'prisoncell', 'courtcase', 'deathsentence', 'doomedman', 'sentence', 'lethalinjection', 'forgiveness', 'charity', 'mercypetition', 'rageandhate', 'unsociability', 'rightandjustice', 'court', 'electricchair', 'cowardliness']",crime drama prison rape sociallydeprivedfamily penalty deathpenalty despair deathrow begnadigung therapist self-discovery prisoncell courtcase deathsentence doomedman sentence lethalinjection forgiveness charity mercypetition rageandhate unsociability rightandjustice court electricchair cowardliness susansarandon seanpenn robertprosky raymondj.barry r.leeermey timrobbins
39,Clueless (1995),"['comedy', 'romance']",3.4290240397177945,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","['aliciasilverstone', 'staceydash', 'brittanymurphy', 'paulrudd', 'donaldfaison']",['amyheckerling'],"['puberty', 'highschool', 'makeamatch', 'spoiledchild', 'gayinterest', 'conflict', 'womandirector']",comedy romance puberty highschool makeamatch spoiledchild gayinterest conflict womandirector aliciasilverstone staceydash brittanymurphy paulrudd donaldfaison amyheckerling
41,Richard III (1995),"['drama', 'war']",3.8362394957983192,Shakespeare's Play transplanted into a 1930s setting.,"['ianmckellen', 'annettebening', 'jimbroadbent', 'kristinscottthomas', 'adriandunbar']",['richardloncraine'],"['england', 'shakespeare', 'kidnapping', 'murder', 'king']",drama war england shakespeare kidnapping murder king ianmckellen annettebening jimbroadbent kristinscottthomas adriandunbar richardloncraine
44,Mortal Kombat (1995),"['action', 'adventure', 'fantasy']",2.669195008563739,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","['christopherlambert', 'robinshou', 'lindenashby', 'cary-hiroyukitagawa', 'bridgettewilson']",['paulw.s.anderson'],"['martialarts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'basedonvideogame', 'handtohandcombat']",action adventure fantasy martialarts monster island gore sorcerer tournament violence basedonvideogame handtohandcombat christopherlambert robinshou lindenashby cary-hiroyukitagawa bridgettewilson paulw.s.anderson
45,To Die For (1995),"['comedy', 'drama', 'thriller']",3.3785192349022135,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","['nicolekidman', 'mattdillon', 'joaquinphoenix', 'caseyaffleck', 'illeanadouglas']",['gusvansant'],"['adultery', 'winter', 'obsession', 'television', 'newhampshire', 'narcissisticpersonalitydisorder']",comedy drama thriller adultery winter obsession television newhampshire narcissisticpersonalitydisorder nicolekidman mattdillon joaquinphoenix caseyaffleck illeanadouglas gusvansant
47,Seven (a.k.a. Se7en) (1995),"['mystery', 'thriller']",4.087198647666593,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","['bradpitt', 'morganfreeman', 'gwynethpaltrow', 'johnc.mcginley', 'kevinspacey']",['davidfincher'],"['self-fulfillingprophecy', 'detective', 's.w.a.t.', 'drugdealer', 'evisceration', 'lustandimpulsiveness', 'rageandhate', 'prideandvanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serialkiller']",mystery thriller self-fulfillingprophecy detective s.w.a.t. drugdealer evisceration lustandimpulsiveness rageandhate prideandvanity immoderateness insomnia investigation pension police serialkiller bradpitt morganfreeman gwynethpaltrow johnc.mcginley kevinspacey davidfincher
48,Pocahontas (1995),"['animation', 'children', 'drama', 'musical', 'romance']",2.9902342503350994,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","['irenebedard', 'melgibson', 'davidogdenstiers', 'johnkassir', 'russellmeans']","['mikegabriel', 'ericgoldberg']","['cultureclash', 'settler', 'forbiddenlove', 'colony', 'musical', 'goldrush', 'princess', 'romance', 'nativeamerican', 'animation', 'virginia', 'starcrossedlovers', 'referencetopizarro', 'jamestownvirginia', 'pugdog', 'crossculturalrelationship', 'musket', 'animatetree', 'indianchief', 'basedonfolktale', '17thcentury', 'shamanism', 'songs', 'indiansvs.settlers', 'animalsidekick', 'powhatan', 'landclaim']",animation children drama musical romance cultureclash settler forbiddenlove colony musical goldrush princess romance nativeamerican animation virginia starcrossedlovers referencetopizarro jamestownvirginia pugdog crossculturalrelationship musket animatetree indianchief basedonfolktale 17thcentury shamanism songs indiansvs.settlers animalsidekick powhatan landclaim irenebedard melgibson davidogdenstiers johnkassir russellmeans mikegabriel ericgoldberg
50,"Usual Suspects, The (1995)","['crime', 'mystery', 'thriller']",4.265070110701107,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","['stephenbaldwin', 'gabrielbyrne', 'chazzpalminteri', 'kevinpollak', 'petepostlethwaite']",['bryansinger'],"['law', 'relatives', 'theft', 'criminal', 'criminalmastermind', 'hungarian', 'sibling']",crime mystery thriller law relatives theft criminal criminalmastermind hungarian sibling stephenbaldwin gabrielbyrne chazzpalminteri kevinpollak petepostlethwaite bryansinger
57,Home for the Holidays (1995),['drama'],3.3127294981640145,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.","['hollyhunter', 'robertdowneyjr.', 'annebancroft', 'charlesdurning', 'clairedanes']",['jodiefoster'],"['baltimore', 'thanksgiving', 'familyclan', 'familyconflict', 'generationsconflict', 'womandirector']",drama baltimore thanksgiving familyclan familyconflict generationsconflict womandirector hollyhunter robertdowneyjr. annebancroft charlesdurning clairedanes jodiefoster
60,"Indian in the Cupboard, The (1995)","['adventure', 'children', 'fantasy']",3.090638044126416,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,"['halscardino', 'litefoot', 'lindsaycrouse', 'richardjenkins', 'rishibhat']",['frankoz'],"['cupboard', 'games', 'puppet', 'parallelworld', 'toycomestolife']",adventure children fantasy cupboard games puppet parallelworld toycomestolife halscardino litefoot lindsaycrouse richardjenkins rishibhat frankoz
61,Eye for an Eye (1996),"['drama', 'thriller']",3.3109153416415986,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.","['sallyfield', 'kiefersutherland', 'edharris', ""beverlyd'angelo"", 'charlaynewoodard']",['johnschlesinger'],"['rape', 'gun', 'self-defense', 'grievingparents']",drama thriller rape gun self-defense grievingparents sallyfield kiefersutherland edharris beverlyd'angelo charlaynewoodard johnschlesinger
62,Mr. Holland's Opus (1995),['drama'],3.711861526510002,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","['richarddreyfuss', 'glenneheadly', 'jaythomas', 'olympiadukakis', 'williamh.macy']",['stephenherek'],"['composer', 'mentor', 'deaf-mute', 'musical', 'apprentice', 'privatelife', 'music', 'disabled']",drama composer mentor deaf-mute musical apprentice privatelife music disabled richarddreyfuss glenneheadly jaythomas olympiadukakis williamh.macy stephenherek
69,Friday (1995),['comedy'],3.550704504862076,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","['icecube', 'christucker', 'nialong', 'tomlisterjr.', 'johnwitherspoon']",['f.garygray'],"['rapmusic', 'parentskidsrelationship', 'rapper', 'job']",comedy rapmusic parentskidsrelationship rapper job icecube christucker nialong tomlisterjr. johnwitherspoon f.garygray
70,From Dusk Till Dawn (1996),"['action', 'comedy', 'horror', 'thriller']",3.3432596291012837,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","['georgeclooney', 'quentintarantino', 'harveykeitel', 'juliettelewis', 'ernestliu']",['robertrodriguez'],"['dancing', 'brotherbrotherrelationship', 'sexualobsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bankrobber', 'vampire', 'holywater', 'siege', 'stripper', 'priest', 'explosion', 'extremeviolence', 'bankrobbery', 'preacher', 'hostagesituation', 'crucifix', 'recreationalvehicle', 'bloodspurting', 'conveniencestore', 'femalevampire', 'mexicanamericanborder', 'nightclubentertainer', 'boaconstrictor']",action comedy horror thriller dancing brotherbrotherrelationship sexualobsession showdown sheriff eroticism nudity bankrobber vampire holywater siege stripper priest explosion extremeviolence bankrobbery preacher hostagesituation crucifix recreationalvehicle bloodspurting conveniencestore femalevampire mexicanamericanborder nightclubentertainer boaconstrictor georgeclooney quentintarantino harveykeitel juliettelewis ernestliu robertrodriguez
79,"Juror, The (1996)","['drama', 'thriller']",3.122461702885643,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.","['demimoore', 'alecbaldwin', 'josephgordon-levitt', 'anneheche', 'jamesgandolfini']",['briangibson'],"['jurors', 'blackmail', 'courtcase', 'son', 'trial', 'courtroom']",drama thriller jurors blackmail courtcase son trial courtroom demimoore alecbaldwin josephgordon-levitt anneheche jamesgandolfini briangibson
81,Things to Do in Denver When You're Dead (1995),"['crime', 'drama', 'romance']",3.2526427061310783,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,"['andygarcía', 'christopherlloyd', 'williamforsythe', 'billnunn', 'treatwilliams']",['garyfleder'],"['fathersonrelationship', 'bountyhunter', 'boat', 'wayoflife', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independentfilm', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegalprostitution', 'extramaritalaffair']",crime drama romance fathersonrelationship bountyhunter boat wayoflife coffin denver godmother paranoia hitman friendship psychopath revenge murder independentfilm mafia diner blood gangster violence illegalprostitution extramaritalaffair andygarcía christopherlloyd williamforsythe billnunn treatwilliams garyfleder
86,White Squall (1996),"['action', 'adventure', 'drama']",3.4791952446273435,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"['jeffbridges', 'carolinegoodall', 'johnsavage', 'scottwolf', 'jeremysisto']",['ridleyscott'],"['sailingtrip', 'diary', 'sailing', 'survival', 'comingofage', 'teenageboy', 'discipline', 'squall', 'sail', 'shipcaptain', 'caribbean', 'malebonding', 'seasickness', 'stormatsea', '1960s']",action adventure drama sailingtrip diary sailing survival comingofage teenageboy discipline squall sail shipcaptain caribbean malebonding seasickness stormatsea 1960s jeffbridges carolinegoodall johnsavage scottwolf jeremysisto ridleyscott
92,Mary Reilly (1996),"['drama', 'horror', 'thriller']",2.841313559322034,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.","['juliaroberts', 'johnmalkovich', 'georgecole', 'michaelgambon', 'glennclose']",['stephenfrears'],"['servant', 'monster', 'laboratory', 'jekyllandhyde', 'housemaid', '19thcentury']",drama horror thriller servant monster laboratory jekyllandhyde housemaid 19thcentury juliaroberts johnmalkovich georgecole michaelgambon glennclose stephenfrears
93,Vampire in Brooklyn (1995),"['comedy', 'horror', 'romance']",2.4981220657276997,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.","['eddiemurphy', 'angelabassett', 'allenpayne', 'kadeemhardison', 'johnwitherspoon']",['wescraven'],"['vampire', 'halfvampire']",comedy horror romance vampire halfvampire eddiemurphy angelabassett allenpayne kadeemhardison johnwitherspoon wescraven
95,Broken Arrow (1996),"['action', 'adventure', 'thriller']",3.0771074451546037,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.","['johntravolta', 'christianslater', 'samanthamathis', 'delroylindo', 'bobgunton']",['johnwoo'],"['helicopter', 'river', 'captain', 'underground', 'mexicanstandoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'parkranger', 'desert', 'military', 'nucleardevice', 'boxing', 'stealthaircraft', 'abandonedmine', 'humvee']",action adventure thriller helicopter river captain underground mexicanstandoff countdown pilot fistfight canyon major betrayal gunfight train explosion parkranger desert military nucleardevice boxing stealthaircraft abandonedmine humvee johntravolta christianslater samanthamathis delroylindo bobgunton johnwoo
100,City Hall (1996),"['drama', 'thriller']",3.2182233991333655,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.","['alpacino', 'johncusack', 'bridgetfonda', 'dannyaiello', 'martinlandau']",['haroldbecker'],"['corruption', 'undercover', 'warondrugs', 'mayor', 'drugdealer', 'presidentialelection', 'undercoveragent', 'investigation', 'police', 'drug']",drama thriller corruption undercover warondrugs mayor drugdealer presidentialelection undercoveragent investigation police drug alpacino johncusack bridgetfonda dannyaiello martinlandau haroldbecker
101,Bottle Rocket (1996),"['adventure', 'comedy', 'crime', 'romance']",3.7507196315486473,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.","['lukewilson', 'owenwilson', 'lumicavazos', 'andrewwilson', 'robertmusgrave']",['wesanderson'],"['brotherbrotherrelationship', 'robbery', 'burglar', 'languagebarrier', 'motel', 'independentfilm', 'psychiatrichospital', 'maid', 'theft', 'nervousbreakdown', 'escapade', 'laundryroom']",adventure comedy crime romance brotherbrotherrelationship robbery burglar languagebarrier motel independentfilm psychiatrichospital maid theft nervousbreakdown escapade laundryroom lukewilson owenwilson lumicavazos andrewwilson robertmusgrave wesanderson
104,Happy Gilmore (1996),['comedy'],3.397988067761181,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.","['adamsandler', 'benstiller', 'christophermcdonald', 'juliebowen', 'francesbay']",['dennisdugan'],"['lossofmother', 'lossoffather', 'golf', 'sport', 'taxes']",comedy lossofmother lossoffather golf sport taxes adamsandler benstiller christophermcdonald juliebowen francesbay dennisdugan
105,"Bridges of Madison County, The (1995)","['drama', 'romance']",3.335110058237094,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,"['merylstreep', 'clinteastwood', 'anniecorley', 'victorslezak', 'jimhaynie']",['clinteastwood'],"['farewell', 'adultery', 'loveatfirstsight', 'photographer', 'wifehusbandrelationship', 'iowa', ""loveofone'slife"", 'motherrole', 'bridge', 'housewife', 'loveletter', 'peasant', 'marriagecrisis', 'photography', 'unsociability', 'secretlove', 'naturedocumentary']",drama romance farewell adultery loveatfirstsight photographer wifehusbandrelationship iowa loveofone'slife motherrole bridge housewife loveletter peasant marriagecrisis photography unsociability secretlove naturedocumentary merylstreep clinteastwood anniecorley victorslezak jimhaynie clinteastwood
110,Braveheart (1995),"['action', 'drama', 'war']",3.9886301488155205,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","['melgibson', 'catherinemccormack', 'sophiemarceau', 'patrickmcgoohan', 'angusmacfadyen']",['melgibson'],"['individual', 'scotland', 'inlovewithenemy', 'legend', 'independence', 'idealism', 'revolt', 'tyranny']",action drama war individual scotland inlovewithenemy legend independence idealism revolt tyranny melgibson catherinemccormack sophiemarceau patrickmcgoohan angusmacfadyen melgibson
